hospital,autor,es_local_guide,rating,fecha_relativa,fecha_iso,fuente,texto,respuesta_negocio,anio,ai_guess,categorias
Alvarez,Abihail Colmenares,,1.0,Fecha de edición: Hace 8 meses,2025-04-06T08:38:29Z,Google,"ACTUALIZACIÓN: A mi mamá la operaron de emergencia 2 meses después. ERA UNA APENDICITIS, no ""PROBLEMAS PSICOLÓGICOS"".

Falta de humildad del enfermero Julio y las médicas del turno.

El 25 de marzo a las 22 hs (todos veían el juego de argentina y brasil) llevé a mi mamá (50 años) a la guardia de este hospital luego de que perdiera el control de su cuerpo, sintiera una presión muy fuerte en el pecho y abdomen, y se quedara sin aire por unos segundos. Mientras nos acercábamos al hospital, volvió a debilitarse y a penas podia moverse, así que ingresé muy asustada, temiendo que fuera un ACV o un infarto.

El recepcionista, con total indiferencia, nos dijo que debíamos esperar. Un segundo después, mi mamá se desplomó delante de todos, sin responder a nuestros llamados. Con ayuda de otras personas la sostuvimos como pudimos. Golpeé la puerta de la guardia desesperada, mientras el recepcionista insistía en que debíamos esperar. Solo entonces salió Julio, el enfermero que realiza el triaje, nos dio una silla de ruedas y nos permitió ingresarla poco después.

En ese momento mi mamá no respondía, tenía la cabeza caída, balbuceaba y respiraba con dificultad. Julio me preguntó por qué no respondía a lo que el le preguntaba con arrogancia, y al decirle que se había desmayado, me contestó con soberbia: “No está desmayada”. Mamá  tenía el rostro  completamente pálido, la cara caída hacia un costado, no tenía fuerzas y minutos después comenzó a temblar, con las manos heladas, náuseas y vómitos. Le tomaron los signos vitales, que estaban dentro de parámetros normales, y Julio concluyó que lo único que iba a dejar asentado eran las náuseas. Según él, no había urgencia, era lo único que habia visto y debíamos esperar como todos.

Incluso insinuó que podía tratarse de algo psicológico.

Esperamos varias horas hasta que dos médicas nos llamaron. Apenas nos vieron entrar con la silla de ruedas, preguntaron con tono prepotente por qué estaba ahí. Les expliqué que se había desmayado y estaba muy débil, pero minimizaron lo ocurrido diciendo “eso no es un desmayo”. Hablaron todo el tiempo con cero empatía, y cuando mamá comentó que hace dos semanas no podía dormir bien, nuevamente insinuaron que debía buscar un psicólogo.

Le aplicaron una inyección de Reliverán y algo para el dolor. No le hicieron ni indicaron análisis. No le indicaron nada para dormir.

Dos días después fuimos a una clínica privada, donde la doctora le ordenó realizar unos 10 análisis y estudios.  Solo esperamos los resultados.

Lamentamos profundamente la falta de humanidad, escucha y criterio profesional con la que fuimos tratadas.",,2025,"['incorrect_diagnoses', 'delays', 'inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",incorrect_diagnoses; delays; inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Florencia C E Martinez,,1.0,Hace un año,2025-03-31T05:33:12Z,Google,"La persona de admisión se va y deja sin atender el lugar.
Los enfermeros tienen un super destrato hacia las personas, sin causa. Simplemente se colocan en una posición de superioridad tratando despectivamente a los pacientes, sin brindar la información de forma clara. Fui con mi mamá a la guardia, le ordenaron laboratorio. 4 horas reloj esperando el resultado.",,2025,"['inappropriate_interpersonal_behavior', 'delays']",inappropriate_interpersonal_behavior; delays
Alvarez,CRprojects,,1.0,Hace un año,2025-05-13T13:52:22Z,Google,Este hospital es muy bueno si tenés paciencia... Pero mí papá se perdió pregunté a todo mundo si lo vieron y ni el personal de seguridad podía darme indicaciones de su paradero... Yo lo vi pasar por enfrente de ellos antes de que se perdiera... Dejen de hablar tanto y hagan su trabajo,,2025,['other'],other
Alvarez,Roxy chirod,,1.0,Hace 10 meses,2025-09-01T01:56:57Z,Google,"Internacion de pediatría un desastre, pediatras unas inútiles 🙈 mi nena fue trasladada del garraham por cuadro asmático para esperar el término para el alta ingreso bien  y resultó que nos quedamos 3 días más exageraron la medicación y mi hija a las 24hs de su alta de ese hospital empeoró y la tuvimos que llevar al  Alvarez a ver qué nos responden y me dicen que el malestar que tenía era por el abrigo 🙈 así que la llevamos de vuelta al garraham al cual ingresó con ritmo cardiaco de 168 oxigeno 85 para ese momento los médicos no lo podían creer como reingreso , con neumonía bilateral , hígado un poco elevado las encinas por sobre medicación no adquirida 😥 que la tuvieron que poner vía endovenosa y oxígeno hasta mejorar en 5 días que por suerte estuvo con los mejores del garraham y salió perfectamente,  nunca más !!!!",,2025,"['inefficient_medical_treatment', 'incorrect_diagnoses', 'inappropriate_interpersonal_behavior']",inefficient_medical_treatment; incorrect_diagnoses; inappropriate_interpersonal_behavior
Alvarez,Jaz,,1.0,Hace un año,2024-12-27T02:07:29Z,Google,"PORFAVOR!! no vayan a guardia de este hospital, hoy Jueves 26 de diciembre Vinimos al hospital con mi mamá a las 7 pm a psiquiatra salud mental por palpitaciones y demás cosas, Primero la de recepción, una pancha total no le importaba nada, Estuvimos hasta las 22:30 hrs ahí NO ATENDIAN!! había un chico pobrecito estába en el piso del dolor, dice que lo habían atendido y le dieron suero y después lo largaron, los chicos de recepción trataban mal no horrible PORFAVOR no vengan!! No vale la pena venir  aunque estés muriéndote te dicen que tenés que esperar. No vengan no lo recomiendo para NADA!!!",,2024,"['delays', 'inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",delays; inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Maria Laura Tambuto,,1.0,Hace un año,2025-05-24T20:16:18Z,Google,"Pésima atención y trato agresivo en recepción.
Mí hermano acudió a este hospital en busca de atención médica y en lugar de recibir ayuda, fue víctima del personal de recepción. Le sacaron el DNI a la fuerza, sin su consentimiento. Retener el DNI es un delito en nuestro país. Amenazaron con llamar a seguridad cuándo él no había hecho absolutamente nada malo, simplemente quería que lo admitan para que lo viera un médico. Yo estaba al teléfono, escuché como mi hermano peleaba para obtener de vuelta su DNI. La recepcionista preguntó mí nombre y apellido y dónde trabajaba, ya que sospechaba que ""alguien nos había mandado"". Es realmente preocupante, ¿estamos hablando de una mafia?
No pueden manejarse con tanta maldad e impunidad. Tomaré las medidas legales correspondientes.
Están destrozando al país. La impunidad de hoy en día es algo nunca visto.",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Soledad Martínez,,1.0,Hace un año,2024-09-19T23:50:48Z,Google,"Fui a la guardia 1 vez de emergencia, me dijeron q tenía infección y me medicaron; Fui a otra clínica esa semana xq obviamente no me sentía mejor! Me revisaron y era un enorme quiste.
Fui a la guardia 2 vez, tenía dolor de pecho y dificultad de respirar! El tipo que me atendió (extranjero para colmo) me dijo q no me podía diagnosticar el, solo darme algo para el dolor (menos mal les dije q no podía respirar bien). Fui a otro hospital por guardia también y me diagnosticaron algo del esófago.
Doctores? Jajaja ojalá tomen conciencia y se dediquen a otra cosa antes de que maten a alguien. En lugar de ir a este hospital, les recomiendo Google (No hacen filas y les dará un mejor diagnóstico) 100% recomendable.",,2024,"['incorrect_diagnoses', 'inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",incorrect_diagnoses; inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Goner.94,,1.0,Hace 11 meses,2025-07-07T23:56:07Z,Google,"Acaban de maltratarme en la recepción. Fui con fiebre y como tenía más de 72 hs me dijeron que era ""para consultorio externo"". Cuando le dije que eso no es correcto me dijeron y vos quien sos, sos médico?  Me maltrataron de una forma inhumana. 7 de julio del 2025.",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,angelo,,1.0,Hace un año,2025-05-24T17:29:36Z,Google,"La administración de la guardia malisima, vine con síntomas que vienen perdurando hace días y empeorando. Cuando me atiene la señora me dice ""hoy tenemos muchas urgencias, si ya estuviste con esos síntomas un par de días podes aguantar unos días más y venir otro día"", no podes decir eso sin saber que tiene la persona, tuve que insistir para que me atiendan",,2025,"['inappropriate_interpersonal_behavior', 'delays']",inappropriate_interpersonal_behavior; delays
Alvarez,Adrian Arias,,1.0,Hace un año,2025-03-01T12:22:22Z,Google,"Una vergüenza la que está en administración en la guardia es una maleducada está con celular y no quiere atender como corresponde. No me quiso dar un sartificado médico para mí trabajo. Anoche vine para guardia de trauma y me cuando quise pedi el sartificado a la ayer a la noche a las 21:30 me dijieron que faltaba que doctor complete los archivos y eso. Y la de administración me dijo venite mañana le decís la situación así te dan un sartificado. Fui hace un rato a las 9:00 a la guardia y la de administración una maleducada, me dijo que no se podía que se hace en el momento. Le quise mostrar la receta del doctor y mi DNI para que vea en el sistema mi ingreso de ayer que fue a las 20:30. Y me dijo que no se puede, que no importa. Y no me miraba. Miraba su celular y no quería ni entrar al sistema. Una maleducada te hablan mal y está con el celular mientras te habla. Una vergüenza.",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Alejandro Jeroncic,,1.0,Hace un año,2024-09-17T14:15:45Z,Google,La atención fue obligatoria por un accidente. De poder elegir voy a cualquier lado menos acá. Traumatólogia pésimo. Los doctores uno más vago que el otro.  La jefa de residentes no aparece nunca. Hospital público de capital. Después se quejan de los sueldos pero para mí les pagan por lo que hacen.  En mí caso no hicieron nada. Solo hotelería. No hicieron nada para para operar a mí mamá que tenía un diagnóstico de operación urgente. Una vergüenza.,,2024,['inefficient_medical_treatment'],inefficient_medical_treatment
Alvarez,Sofia Garro,,1.0,Hace un año,2024-11-16T14:07:27Z,Google,"La atención no es mala, es malísima.
Fuimos de madrugada y no habia nadie, hasta que no pasaron 40 minutos y me acerqué a preguntar de vuelta en ventanilla, no nos atendieron.
Las médicas y enfermeras, todas de mala gana y hablando mal.
Cuando nos fuimos del Hospital se habia llenado, habia una familia con nenes chiquitos y más gente, al pasar por el costado del hospital, las dos médicas que nos habian atendido estaban en el patio trasero fumandose un pucho tiradas y charlando, mientras la gente esperaba en guardia.
Una vergüenza. 0 vocación.",,2024,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Florencia Sotelo,,1.0,Hace 7 meses,2025-11-10T14:32:06Z,Google,Muy mala atención tenía turno para hoy para hacerme un PAP y colposcopia y estaba horario y no me atendieron un desastre total por dios,,2025,['delays'],delays
Alvarez,Mariela Solís,,1.0,Hace un año,2024-07-04T17:01:12Z,Google,Quiero dejar en claro en el día de la fecha 04/07/2024 llevé a mi madre a la guardia a las 08 am con dolor abdominal y un hombre que anota no la quiso anotar para atenderla . Una vergüenza me faltó el respeto q vaya a otro hospital. Le pedí por favor que me atienda y no quiso. Siendo con los médicos son los q deciden o no atender . Si me piden ir a reconocer al personal de guardia iría nuevamente ésto no puede quedar así.,,2024,"['inappropriate_interpersonal_behavior', 'delays']",inappropriate_interpersonal_behavior; delays
Alvarez,luz 12,,1.0,Hace 10 meses,2025-08-04T21:42:37Z,Google,"Hoy con mi pareja fuimos hacernos atender por el ""Dr"" Alejandro, explicándole que tenia mucha fiebre y dolor de espalda. Ya van hacer 3 días que esta así. Y como no tenia placas u algo grave le receteo un medicamento SGNOLSR  que tampoco explicó que era. Lo tuvimos que buscar lo que era. Que termino siendo cualquiera cosa
Synalar es una marca de medicamentos que contienen fluocinolona, un corticosteroide tópico. Se utiliza para tratar diversas afecciones inflamatorias y pruriginosas de la piel, como eccemas, dermatitis, psoriasis y lupus discoide eritematoso. También se presenta en forma de gotas óticas (Synalar Ótico) para tratar infecciones e inflamaciones del oído externo.
A lo que voy y me quejo adelante si me podrían derivar con una enfermera o un Medico profesional y nos dijieron que eso se hace cargo el ""Dr"" que nos atendió.
PESIMA LA ATENCION, TE TENES QUE ESTAR MURIENDO PARA QUE TE CREAN Y PUEDAS SER BIEN ATENDIDO EL "" DR ALEJANDRO VOLVE A ESTUDIAR O DEDICATE A OTRA COSA PORQUE COMO MEDICO NO SABES NADAAA!!!!!",,2025,"['inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Letty Tapιa,,1.0,Hace un año,2024-08-08T02:59:44Z,Google,"Horrible la atención por la Guardia, y hablo por la doctora rubia del consultorio 2 - hoy 7/08... fuimos por una fractura en la nariz y no supo explicarnos bien que no es hay donde tratan fractura de nariz ni rayos X, como si supiéramos eso y más. Estaba con su compañera que sí fue amable pero la forma de hablar y gestos de la rubia no fueron las adecuadas.
Horrible el trato asía uno que va a atenderse y que te hablen así, cuando nosotros llegamos con muy buena onda y educados. Ojalá la saquen de guardia. Trata mal a la gente.",,2024,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Lea Chino,,1.0,Hace un año,2025-03-01T15:00:30Z,Google,Hoy fui al hospital alvarez a Guardia por un dolor intenso en la vesicula. Tuve una experiencia pésima en la recepción muy mal la atención prácticamente te dice aguantate de tu dolor. No entiendo por qué atienden ahí si no tiene vocación. Me dijo espera tu turno. Y mi turno está para 19 días de espera. Alguen me recomienda que tomar para calmar el dolor de vesicula porfavor,,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,leonardo Miranda,,1.0,Hace un año,2024-11-22T17:18:27Z,Google,"Hoy viernes 22 de noviembre de 2024 quiero dejar en claro el maltrato que sufrió mi mamá por parte del recepcionista del área de traumatología, llegamos mucho antes del horario del turno y debido a la larga fila de personas según este personaje mi mamá perdió el turno por ausente. Cabe aclarar que este sr jamás nos ofreció una solución más que hechar a mi madre sabiendo que le dije en reiteradas oportunidades que mi mamá venía exclusivamente desde la plata para hacerse atender. En fin tuve que golpearle la puerta al médico porque esté recepcionista si así se le puede llamar se hacía el que dormía para no atender a las personas. Ojalá las autoridades tomen medidas porque a estas personas no se les paga por calentar el asiento, ellos cobran por brindar una atención cordial y respetuosa.",,2024,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Hna. Maria Angelica,,1.0,Hace un año,2025-03-25T16:23:45Z,Google,"La guardia nocturna un desastre. Fui por presión alta, no había nadie que te atienda, como 100 personas esperando. Esperé dos horas, nunca apareció ni medico ni enfermeros. Un desastre como todo lo que está manejando este gobierno de la ciudad, el cual es de una ineptitud nunca vista en caba.",,2025,['delays'],delays
