hospital,autor,es_local_guide,rating,fecha_relativa,fecha_iso,fuente,texto,respuesta_negocio,anio
Alvarez,Angie Alarcon,,5.0,Hace un año,2025-02-18T23:55:15Z,Google,"Buena atención, fui a dobar sangre para un familiar, la doctora que entrevista da toda la información de forma clara. La estraccionista excelente profesional, muy amable.",,2025
Alvarez,Valen HakimiaN,,1.0,Hace 6 meses,2025-12-25T20:06:14Z,Google,"es una vergüenza este hospital, hace 3hs que estoy esperando y llamaron a dos personas. Entro una chica agonizadando del dolor y la dejaron ahi nomas en una silla de ruedeas esperando. Si tenes una urgenica no vengas NUNCA.
Demás esta decir q las de recepción te atienden de mala manera y con odio",,2025
Alvarez,Rufina Arevalos,,1.0,Hace 9 meses,2025-09-19T15:58:16Z,Google,"Pesima , pesima atencion por parte de la infectologa Rosana Lujan Cuini, por discriminacion , mi mama se presento para ser atendida ya que tiene TBC y esta con tratamiento por ende no contagia y con las medidas de seguridad usando barbijo y alcohol en gel en mano , fue rechazada la atencion  por parte d esta supuesta Doctora
Le falta vocacion y ganas muchas ganas de trabajar . Dediquese a otra cosa .",,2025
Alvarez,Breidy Davila,,1.0,Hace 2 años,2024-03-13T09:00:47Z,Google,"Un desastre total , la guardia un examen de laboratorio te dan dos horas y pídelo al doctor que se lo mandan a la computadora el chico de admisión  te da largas estamos con  Muchos pacientes  saturados!  Tres  horas acá sin llamar a nadie . Y sin que nadie te de respuesta.",,2024
Alvarez,German Gies,,1.0,Hace 8 meses,2025-10-29T00:51:08Z,Google,"Una porquería de hospital. Los supuestos medicos no lo son. Son extranjeros que no te dicen sus apellidos para que uno no los expongan. Fuimos hoy a las 2 de la tarde y estuvimos hasta las 8 de la noche. Como llegamos nos fuimos. sin ninguna solucion. Llevamos a mi hermano esquizofrenico con una orden de su psiquiatra Dra Buttman para internarlo y se negaron a hacerlo diciendonos textualmente: "" A mi una psiquiatra no me va a dar a órdenes"". Realmente deprimente la atención del hospital. Ojalá los echen a todos porque ninguno sirve para nada...Desde la recepcion hasta los supuestos medicos é irrespetuosos. Ni siquiera te dicen sus nombres para que uno no los pueda escrachar en las redes. Mi hermano se llama Carlos Gies y lo mandaron de vuelta a su casa en condiciones deplorables sin atenderlo adecuadamente. Hasta desconfiaron de las cosas que les decíamos sobre lo que nos estaba pasando. Les dijimos que él se stiende ahi desde hace 15 años y nos trataron de mentirosos. Mi hermano gritaba y estaba tirado en el piso y ni siquiera quisieron levantarlo para ayudarlo. Son inhumanos y muy pocos profesionales.  Piden aumento de sueldo pero no merecen ni siquiera lo que cobran ahora por cómo atienden a los pacientes. Esto tiene que cambiar.",,2025
Alvarez,Rolando Ruiz Diaz,,3.0,Hace 6 meses,2025-12-20T12:04:09Z,Google,Dan mucha vueltas para una atención se pasas tomando mate y atendiendo cada 1 hora por paciente  tube mal experiencia con mí señora embarazada,,2025
Alvarez,Julieta Perrone,,1.0,Hace 9 meses,2025-09-30T02:26:13Z,Google,"Fui a la guardia esta tarde con taquicardia, dolor de pecho y sin poder respirar bien, me enviaron a un médico rápido por suerte pero este mismo médico ni me reviso ni nada... me contesto pésimo diciendo que no había que molestar a la guardia si no era una urgencia (no sabia si lo mio era una urgencia porque ni me reviso) y sigo exactamente con los mismos síntomas... solo me dio clonazepam para calmar los nervios, literalmente

Y ahora que estoy mirando el medico que me atendió supuestamente es un traumatologo (alejandro tabbaj), nada que ver con lo que yo necesitaba pero bueno, gracias por su mala atención. La próxima a un particular claramente porque no sirven para nada",,2025
Alvarez,Andrea Girardini,,5.0,Hace 9 meses,2025-09-10T12:26:02Z,Google,"Muy agradecida ... concurrí con angustia por tema de mamas. Me atendieron en guardia ginecologica, luego ecografia. Se notó profesionalismo y dedicación al servicio del paciente!! Encaminaron mi problema. Defendamos y apoyemos al Hospital público. C.  Girardini. 10-9-25",,2025
Alvarez,Arminda Sosa,,4.0,Hace 9 meses,2025-09-24T04:57:06Z,Google,"Muy buena atención, Excelente profesional médico el que me atendió, enfermeras y enfermeros que me atendieron Dios los bendiga por todo 🙏  Mil  Gracias 😊",,2025
Alvarez,Silvia T,,5.0,Hace 3 años,2023-04-11T23:42:24Z,Google,Mi mamá estuvo internada ahi. Muy limpio y ordenado. A pesar de las carencias del hospital público el trato fue excelente. En especial la enfermera Carolina con una buena onda contagiosa,,2023
Alvarez,Drunken Mosquiro,,5.0,Hace 6 meses,2025-12-28T03:39:36Z,Google,Falta personal y presupuesto pero aún así lograron atenderme... Estuve 2 hs entre consulta y estudios. Ojalá inviertan más en salud 🙏 la gente lo necesita,,2025
Alvarez,Yair Mansilla,,1.0,Hace 11 meses,2025-07-08T16:58:37Z,Google,Una hora y media esperando y ni siquiera habían atendido a la otra gente que encima era gente grande. Horrible y encima el recepcionista ese se fue como por dos horas o más y no atendían a la gente,,2025
Alvarez,Nicole Rodríguez (Nicki),,1.0,Hace un año,2025-02-26T16:04:11Z,Google,"El peor hospital para tener un hijo, fui hacer mi primera eco y cero intimidad y mientras antes te puedan sacar de encima mejor, arruinaron mi primer eco y el escuchar sus latidos, nunca mas. Y en la guardia las trataban con una violencia a una mamá primeriza,  entiendo q para ustedes es algo de todos los días pero para q carajo estudian si van a tener cero paciencia con la gente. Un horror todo",,2025
Alvarez,Gaspar Fierre,,3.0,Fecha de edición: Hace un año,2024-12-23T09:54:39Z,Google,"Bueno .. pienso que podría ser un buen hospital  , si vas temprano podes sacar turno pero lamentablemente es un sistema que está limitado y aveces el sistema decae .. me mandaron a hacer un montón de estudios lo cual fueron satisfactorios para hacerme una operación en la nariz y otra en el oído.. me dijeron que me iban a llamar en una fecha determinada pero no cumplieron tampoco hay una posible comunicación asique volveré a ir en otro momento para ver que fue lo que sucedió , esperemos que no tenga nada que ver con el celular o que no inventen cosas para generar conflicto . Pero como todo hospital público tiene sus falencias",,2024
Alvarez,Maria Elena Reguera,,5.0,Hace 10 meses,2025-08-28T22:53:14Z,Google,"Fui el dia miercoles 27/8/25 para aplicarme las vacunas contra el covid y hepatitis B. Llegue a las 7,50 hs. aprox. Me atendieron rapidísimo y 2 chicas EXCELENTES! me explicaron todo sobre las vacunas qué me aplicaron y con lápiz pusieron cuando debo volver a vacunarme. Desgraciadamente no estoy acostumbrada a este tipo de atención. Un 10!!!!",,2025
Alvarez,Ivanna Fuente,,5.0,Hace un año,2025-03-21T09:38:45Z,Google,"Excelente hospital, veo que hay muchas opiniones negativas pero yo no tengo más que agradecer por la atención de los profesionales de este hospital, puede ser que los empleados no profesionales (recepción, trámites, etc) no sean de los más amables y preparados, pero la atención de los medicos y enfermeros es siempre impecable. Se nota que aman su profesión y en este hospital tienen excelentes profesionales, lo digo por experiencia propia. Gracias medicas/os y enfermeros del Álvarez.
Opino que tendrían que capacitar al personal que recibe a la gente porque no saben comunicarse bien o tienen mal genio, y muchas veces no saben brindar la información que uno va a buscar o necesita.",,2025
Alvarez,Ines Fernandez,,5.0,Hace un año,2025-05-09T20:02:16Z,Google,"Mi no bre es Maria Inés Fernández siempre me atiendo en el hospital Teodoro alvarez excelente atención todos los profesionales,  puedo citar demarologia, traumatologa ect. Hoy fui nuevamente con un dolor agudo en la cintura en la guardia me atendieron me derivaron atendió el profesional BrunoDlliagostino excelente muchas gracias luego un enfermero.no puedo citar el.nombre no lo sé excelente aplico una inyección.  Muy buena la atención en general siempre que voy .... gracias gracias a todos los profesionales y gente de ventanilla a todo el personal.  María ines Fernández dni: 12.137.367.",,2025
Alvarez,Laura Landolfi,,1.0,Fecha de edición: Hace un año,2025-01-25T20:22:15Z,Google,"Un maleducado el chico de recepción con barba, le voy a preguntar y me dice que no pregunte boludeces. La sala a medio vacío y aún así hay demora. No vengan acá. Es puro dolor de cabeza",,2025
Alvarez,Noelia Brusco,,5.0,Hace 9 meses,2025-09-26T21:23:15Z,Google,Excelentes profesionales. Siempre que tuve una urgencia sea pediátrica o de adultos recibi una excelente atención,,2025
Alvarez,alicia albort,,1.0,Hace 9 meses,2025-09-17T11:32:15Z,Google,"me gustaría que se capacitara a los médicos de guardia sobre como tratar a los colegas que van a presentar pacientes, dado que por mucho que llegase a estar colapsada la urgencia, tienen que informarle al medico de la ambulancia de forma respetuosa que no lo pueden aceptar y para no afectar al paciente determinar si requieren o no realizarle formato de rechazo para que la obra social pueda redireccionar a la ambulancia.
tienen que colocarse en el lugar del medico que esta trasladando quien también esta haciendo su trabajo y no decide donde llevar al paciente.
una medico clínica de guardia de nacionalidad ecuatoriana cabello tinturado de rubio y gafas rojas , a la que al decirle buenas noches solo me levanto la voz  gritándome que estaba colapsada y que no lo podía aceptar, de la clínica solo me dejo decir muy poco quedandose solo con la idea de que estaba hipotenso y me grito que antes de derivarlo debía administrarle 2000 de lev sin escuchar como tal las condiciones del paciente (traumatismo craneoencefalico) , se les olvida que quien traslada es un medico y tambien sabe como manejar a un paciente.
al explicarle que necesitaba el rechazo para ubicar al paciente me grito que no lo iba a hacer , al decirle que me podia rechazar al paciente de forma amable y respetuosa recordandole que somos colegas me dijo que ya me estaba respetando mucho e inclusive me manoteo , con sus palabras y actitud fácilmente me podía agredir físicamente.
una hora esperando el rechazo por parte del medico y llamando a cabina para que por favor se me eximiera la presentación de rechazo para poder reubicar al paciente logrando así trasladarlo

POR FAVOR SOMOS COLEGAS, PROFESIONALES Y ATENDEMOS PERSONAS
pongámonos en el lugar del paciente descompensado que requiere atención, el familiar que esta lleno de angustia y el medico de la ambulancia que ante la ausencia de recursos esta contabilizando el tiempo para evitar una mayor complicación.

que residentes de clínica de primer año estén acompañados de un superior que sepa manejar el servicio para que se priorice el buen trato.

ojala y esto sirva de algo.",,2025
Alvarez,isabella tartari,,5.0,Hace 11 meses,2025-07-11T15:50:58Z,Google,"10 puntos, excelente atencion, desde que entre hasta que salí. Profesionales, residentes y enfermeras que estan en todos los detalles y hacen que un momento de preocupación sea lo más llevadero y tranquilo posible. Sigan así que los necesitamos, muchas gracias a todo el equipo medico y todo aquel que haya participado de mi internación, contención y profesionalidad al 100%",,2025
Alvarez,Deborah Llanes,,5.0,Hace 3 años,2023-02-26T05:54:14Z,Google,Excelente atención por guardia! Profesionales q tienen vocación de servicio y se nota en el trato tanto al paciente como a la familia,,2023
Alvarez,Ma Yegros,,1.0,Hace 8 meses,2025-10-10T10:41:44Z,Google,La verdad que la guardia una decepción atendían cada dos hrs yo llegue a las 3 y había gente desde las 9 de la mañana esperando yo soy discapacitada y no me atendieron como prioridad una mujer se desmayo y ni bola los médicos .nos atendieron tipo 8:30 pero como descarte ahí mismo en recepción yo vengo descompuesta hace 4 meses y ahora con sangre no me chequearon ni me mandaron a ser estudios y peor aún me recetaron una pastilla que ya la había tomado y no me hace nada .una chica vomitaba sangre le dió pastilla y la mando a su casa .yo soy de oeste y pague Uber para ir y volver ese hospital debería ser clausurado está en el centro y es una vergüenza ni en las salitas te tratan así .,,2025
Alvarez,VOL DEMORT,,1.0,Hace 9 meses,2025-09-19T15:28:26Z,Google,"Quiero quejarme especialmente de la infectolga Rosana Lujan Cuini , por discriminación, la lleve a mi mamá que tiene TBC , para que pueda ser tratada x su enfermedad ya que no tolera medicacion , ella esta tomando antibióticos muy fuertes y necesitaba la ayuda d una profesional para una mejor evolución del tratamiento  y  con solo verla se negó rotundamente a atenderla . Ser Doctora no es solo tener un titulo sino tambien tener vocación y empatía . Gracias x nada . Pésima , pésima y pésima atención si se la puede llamar doctora .",,2025
Alvarez,Marina Gómez De Biase,,1.0,Hace 11 meses,2025-07-14T13:43:58Z,Google,"Es un DESASTRE!!!!! Es la tercera vez que voy a la guardia con un dolor de pecho y espalda muy fuerte y no te dan ni 5 de pelota, ni te revisan, no te auscultan, no te sacan placas, no despegan el culo de la silla pero si te dan KETEROLAK inyectable sin notificarme ni preguntarme si soy alérgica. Una verdadera basura!!! El Director debería ocuparse, o es igual que los médicos de guardia?",,2025
Alvarez,ThiagoSofiaP cruz,,1.0,Hace un año,2025-06-10T19:59:57Z,Google,"LA DOCTORA LORENA FERNANDEZ BISOGNIN , PEDIATRA,UN DESASTRE COMO PERSONA! PORQUE CUANDO SACAS TURNO TE DICEN LLEGAR MEDIA HORA ANTES! UNO LLEGA MEDIA HORA ANTES, Y LA DOCTORA CHARLANDO CON OTROS MEDICOS , TENIENDO PACIENTES EN ESPERA! UN DESASTRE !! Cuando le digo que lleve media hora antes , al turno asignado, se enoja porque dice que ella está atendiendo.
Y la veo charlando con otros médicos y se enoja y todavía TARDA MÁS PARA ATENDERME!! CERO PROFESIONALISMO!!",,2025
Alvarez,Estela Caballero,,1.0,Hace 10 meses,2025-08-16T04:04:39Z,Google,"Un hospital que cuenta con los mejores especialistas, tantos pediatras y adultos. Tengan en admisión de adultos guardia turno noche a un desubicado prepotente que piensa que por sentarse detrás de un mostrador  pueden llevar por delantes a todo. Cero trato a las personas, cero empatía tendria que estar dedicandose a otra cosa. Esto es lamentable.",,2025
Alvarez,Maria Milagros Anuarve Damato,,5.0,Hace un año,2025-04-27T02:03:44Z,Google,"Hace 4 días trajimos a mi papá por un problema de salud mental y quedó internado. Quiero agradecer y destacar el profesionalismo del personal y la calidad humana. De todos, enfermeros, psicólogos,asistente social, personal de limpieza. Más que agradecidos.",,2025
Alvarez,Abihail Colmenares,,1.0,Fecha de edición: Hace 8 meses,2025-04-06T08:38:29Z,Google,"ACTUALIZACIÓN: A mi mamá la operaron de emergencia 2 meses después. ERA UNA APENDICITIS, no ""PROBLEMAS PSICOLÓGICOS"".

Falta de humildad del enfermero Julio y las médicas del turno.

El 25 de marzo a las 22 hs (todos veían el juego de argentina y brasil) llevé a mi mamá (50 años) a la guardia de este hospital luego de que perdiera el control de su cuerpo, sintiera una presión muy fuerte en el pecho y abdomen, y se quedara sin aire por unos segundos. Mientras nos acercábamos al hospital, volvió a debilitarse y a penas podia moverse, así que ingresé muy asustada, temiendo que fuera un ACV o un infarto.

El recepcionista, con total indiferencia, nos dijo que debíamos esperar. Un segundo después, mi mamá se desplomó delante de todos, sin responder a nuestros llamados. Con ayuda de otras personas la sostuvimos como pudimos. Golpeé la puerta de la guardia desesperada, mientras el recepcionista insistía en que debíamos esperar. Solo entonces salió Julio, el enfermero que realiza el triaje, nos dio una silla de ruedas y nos permitió ingresarla poco después.

En ese momento mi mamá no respondía, tenía la cabeza caída, balbuceaba y respiraba con dificultad. Julio me preguntó por qué no respondía a lo que el le preguntaba con arrogancia, y al decirle que se había desmayado, me contestó con soberbia: “No está desmayada”. Mamá  tenía el rostro  completamente pálido, la cara caída hacia un costado, no tenía fuerzas y minutos después comenzó a temblar, con las manos heladas, náuseas y vómitos. Le tomaron los signos vitales, que estaban dentro de parámetros normales, y Julio concluyó que lo único que iba a dejar asentado eran las náuseas. Según él, no había urgencia, era lo único que habia visto y debíamos esperar como todos.

Incluso insinuó que podía tratarse de algo psicológico.

Esperamos varias horas hasta que dos médicas nos llamaron. Apenas nos vieron entrar con la silla de ruedas, preguntaron con tono prepotente por qué estaba ahí. Les expliqué que se había desmayado y estaba muy débil, pero minimizaron lo ocurrido diciendo “eso no es un desmayo”. Hablaron todo el tiempo con cero empatía, y cuando mamá comentó que hace dos semanas no podía dormir bien, nuevamente insinuaron que debía buscar un psicólogo.

Le aplicaron una inyección de Reliverán y algo para el dolor. No le hicieron ni indicaron análisis. No le indicaron nada para dormir.

Dos días después fuimos a una clínica privada, donde la doctora le ordenó realizar unos 10 análisis y estudios.  Solo esperamos los resultados.

Lamentamos profundamente la falta de humanidad, escucha y criterio profesional con la que fuimos tratadas.",,2025
Alvarez,Florencia C E Martinez,,1.0,Hace un año,2025-03-31T05:33:12Z,Google,"La persona de admisión se va y deja sin atender el lugar.
Los enfermeros tienen un super destrato hacia las personas, sin causa. Simplemente se colocan en una posición de superioridad tratando despectivamente a los pacientes, sin brindar la información de forma clara. Fui con mi mamá a la guardia, le ordenaron laboratorio. 4 horas reloj esperando el resultado.",,2025
Alvarez,Elian Cativa,,2.0,Hace un año,2024-10-17T19:43:00Z,Google,"En guardia no te atienden bien. Te toman el pelo y te dan a entender que vas en vano y que no tenes nada, ni hablar de los silencios incómodos cuando terminas de contarle tus dolencias. El personal de enfermería es una falta de respeto.",,2024
Alvarez,CRprojects,,1.0,Hace un año,2025-05-13T13:52:22Z,Google,Este hospital es muy bueno si tenés paciencia... Pero mí papá se perdió pregunté a todo mundo si lo vieron y ni el personal de seguridad podía darme indicaciones de su paradero... Yo lo vi pasar por enfrente de ellos antes de que se perdiera... Dejen de hablar tanto y hagan su trabajo,,2025
Alvarez,Micaela Besana,,5.0,Hace un año,2024-08-18T18:39:05Z,Google,"Personalmente me atendieron muy bien. Llegué a la guardia a las 3am, debido a mi dolor me hicieron pasar enseguida, me hicieron estudios  (sangre, orina y eco).
No voy a mentir, tuve que esperar 2hs por el laboratorio pero porque el análisis requiere ese tiempo.
Las doctoras que me atendieron fueron muy amables, me explicaron todo y me brindaron la medicación, así como también turno para seguimiento.
El hospital a comparación de otros está en perfecto estado (área de guardia), muy limpio y cuidado.",,2024
Alvarez,Estrella Cáceres,,4.0,Hace 8 meses,2025-10-22T08:44:52Z,Google,Dentro de todo es buena y te atienden rápido si es q ya tienes turno,,2025
Alvarez,Roxy chirod,,1.0,Hace 10 meses,2025-09-01T01:56:57Z,Google,"Internacion de pediatría un desastre, pediatras unas inútiles 🙈 mi nena fue trasladada del garraham por cuadro asmático para esperar el término para el alta ingreso bien  y resultó que nos quedamos 3 días más exageraron la medicación y mi hija a las 24hs de su alta de ese hospital empeoró y la tuvimos que llevar al  Alvarez a ver qué nos responden y me dicen que el malestar que tenía era por el abrigo 🙈 así que la llevamos de vuelta al garraham al cual ingresó con ritmo cardiaco de 168 oxigeno 85 para ese momento los médicos no lo podían creer como reingreso , con neumonía bilateral , hígado un poco elevado las encinas por sobre medicación no adquirida 😥 que la tuvieron que poner vía endovenosa y oxígeno hasta mejorar en 5 días que por suerte estuvo con los mejores del garraham y salió perfectamente,  nunca más !!!!",,2025
Alvarez,Melina del Huerto Juarez,,5.0,Hace un año,2025-04-11T20:46:06Z,Google,"Excelente equipo interdisciplinario, desde las músico terapeutas, psicólogas, enfermeras y médicos y hasta la seguridad, todos fueron muy amables. Al principio demora como en cualquier lugar, pero muy secundario en comparación a la calidad de atención.
Me encuentro muy agradecida con todos.

Pd quiero destacar que soy afiliada de Galeno en el plan más alto, y no recibí ni la 4ta parte de la atención que solicitaba.

Aguante la salud pública",,2025
Alvarez,Jaz,,1.0,Hace un año,2024-12-27T02:07:29Z,Google,"PORFAVOR!! no vayan a guardia de este hospital, hoy Jueves 26 de diciembre Vinimos al hospital con mi mamá a las 7 pm a psiquiatra salud mental por palpitaciones y demás cosas, Primero la de recepción, una pancha total no le importaba nada, Estuvimos hasta las 22:30 hrs ahí NO ATENDIAN!! había un chico pobrecito estába en el piso del dolor, dice que lo habían atendido y le dieron suero y después lo largaron, los chicos de recepción trataban mal no horrible PORFAVOR no vengan!! No vale la pena venir  aunque estés muriéndote te dicen que tenés que esperar. No vengan no lo recomiendo para NADA!!!",,2024
Alvarez,Maria Laura Tambuto,,1.0,Hace un año,2025-05-24T20:16:18Z,Google,"Pésima atención y trato agresivo en recepción.
Mí hermano acudió a este hospital en busca de atención médica y en lugar de recibir ayuda, fue víctima del personal de recepción. Le sacaron el DNI a la fuerza, sin su consentimiento. Retener el DNI es un delito en nuestro país. Amenazaron con llamar a seguridad cuándo él no había hecho absolutamente nada malo, simplemente quería que lo admitan para que lo viera un médico. Yo estaba al teléfono, escuché como mi hermano peleaba para obtener de vuelta su DNI. La recepcionista preguntó mí nombre y apellido y dónde trabajaba, ya que sospechaba que ""alguien nos había mandado"". Es realmente preocupante, ¿estamos hablando de una mafia?
No pueden manejarse con tanta maldad e impunidad. Tomaré las medidas legales correspondientes.
Están destrozando al país. La impunidad de hoy en día es algo nunca visto.",,2025
Alvarez,Soledad Martínez,,1.0,Hace un año,2024-09-19T23:50:48Z,Google,"Fui a la guardia 1 vez de emergencia, me dijeron q tenía infección y me medicaron; Fui a otra clínica esa semana xq obviamente no me sentía mejor! Me revisaron y era un enorme quiste.
Fui a la guardia 2 vez, tenía dolor de pecho y dificultad de respirar! El tipo que me atendió (extranjero para colmo) me dijo q no me podía diagnosticar el, solo darme algo para el dolor (menos mal les dije q no podía respirar bien). Fui a otro hospital por guardia también y me diagnosticaron algo del esófago.
Doctores? Jajaja ojalá tomen conciencia y se dediquen a otra cosa antes de que maten a alguien. En lugar de ir a este hospital, les recomiendo Google (No hacen filas y les dará un mejor diagnóstico) 100% recomendable.",,2024
Alvarez,Goner.94,,1.0,Hace 11 meses,2025-07-07T23:56:07Z,Google,"Acaban de maltratarme en la recepción. Fui con fiebre y como tenía más de 72 hs me dijeron que era ""para consultorio externo"". Cuando le dije que eso no es correcto me dijeron y vos quien sos, sos médico?  Me maltrataron de una forma inhumana. 7 de julio del 2025.",,2025
Alvarez,angelo,,1.0,Hace un año,2025-05-24T17:29:36Z,Google,"La administración de la guardia malisima, vine con síntomas que vienen perdurando hace días y empeorando. Cuando me atiene la señora me dice ""hoy tenemos muchas urgencias, si ya estuviste con esos síntomas un par de días podes aguantar unos días más y venir otro día"", no podes decir eso sin saber que tiene la persona, tuve que insistir para que me atiendan",,2025
Alvarez,Daniel Luis Rico,,4.0,Hace 7 meses,2025-11-27T16:11:33Z,Google,Muy buen hospital ya que las veces que tuve que recurrir a el por mi esposa que es diabetica isulinodependiente los medicos y enfermeros la trataron con total procesionalismo,,2025
